111 FUKUDA,S.
111 MARTIN,D.
111 METZ,J.G.
111 YAMADA,M.
111 GE,W.
111 ZHANG,W.
111 MENDLEIN,J.D.
110 SAHM,H.
110 AU-YOUNG,J.
110 SAKAI,T.
110 YOKOZEKI,K.
110 RACIE,L.A.
110 WANG,T.
110 PRAKASH,T.P.
110 YAMAMOTO,Y.
110 WALIA,N.K.
110 REUZEAU,C.
110 BAUER,J.
110 YOON,S.
109 KAWAI,S.
109 KUFER,P.
109 FUJITA,T.
109 HU,Y.
109 KASTELEIN,R.A.
109 WANG,A.
109 LAL,P.G.
109 LI,B.
109 GRIFFIN,J.A.
109 READ,S.
109 CHIANG,K.P.
108 BROWN,K.
108 KAWAMURA,Y.
108 ZHU,Y.
108 SASS,P.M.
108 LIU,D.R.
108 PAPADOPOULOS,N.J.
108 BHANOT,S.
107 HANAI,N.
107 JIANG,X.
107 OHARA,O.
107 SRINIVASAN,M.
107 SAWAI,H.
106 MIYAKE,T.
106 ONO,K.
106 ANDERSON,D.M.
106 ISHIKAWA,K.
106 ALLEN,S.M.
106 SAITO,S.
106 KIM,S.W.
106 DAMUDE,H.G.
106 KIM,M.S.
105 MORI,T.
105 YOKOYAMA,K.
105 SUGIYAMA,M.
105 ITO,S.
105 KAPELLER-LIBERMANN,R.
105 KIM,S.K.
105 HABERHAUER,G.
105 NIITSU,Y.
105 CHO,K.
105 KIM,J.Y.
105 CHANG,C.-H.
104 HOUGHTON,M.
104 THIERBACH,G.
104 WU,C.
104 QIU,X.
104 KWON,S.
104 NAKAO,Y.
103 KANG,J.
103 WALLACH,D.
103 ZHOU,Y.
103 TREACY,M.
103 KURAHASHI,O.
103 YANG,H.
103 POULOSE,A.J.
103 HUANG,C.
103 LU,D.A.
102 ISOGAI,T.
102 ELLIS,J.H.
102 JASPERS,S.R.
102 LIU,Z.
102 KIM,N.
102 HAUER,B.
102 LI,C.
102 KHAN,F.A.
102 TAMURA,T.
102 OHSAWA,R.
101 WAGNER,R.
101 XU,X.
101 FROST,G.I.
101 VIND,J.
101 QUINN,C.L.
101 KIM,W.
101 THANGAVELU,K.
101 UEDA,T.
101 PARK,J.S.
101 MURAKAMI,K.
101 KATAGIRI,T.
101 KIM,J.M.
100 CHOI,K.
100 SAGAWA,H.
100 KITABAYASHI,M.
100 BHAT,B.
100 VALLE,F.
99 MARX,A.
99 SOPPET,D.R.
99 ISHII,K.
99 SPAULDING,V.
99 GAO,G.
99 SAKAI,H.
99 TAKAKURA,Y.
99 NAGASE,T.
99 HAFALIA,A.J.A.
99 NISHIMURA,Y.
98 HAYASHI,M.
98 FUJII,R.
98 LEDBETTER,J.A.
98 GHAYUR,T.
98 MINSHULL,J.
98 WU,S.
98 DONOHO,G.
98 BOONE,T.C.
98 LEE,J.M.
98 THOMPSON,J.E.
98 GILLIES,S.D.
98 JIANG,H.
98 KOLKMAN,M.
98 WATANABE,Y.
98 ZOZULYA,S.
97 JONES,B.E.
97 WANG,Q.
97 SATO,N.
97 KITADA,C.
97 SHELTON,D.L.
97 WU,J.
97 ZURAWSKI,G.
97 ASANO,Y.
97 ZHU,H.
97 NOMOTO,T.
97 YANG,L.
97 LEE,S.W.
97 TANG,Y.
97 HAN,H.
96 SUGIMOTO,M.
96 ROSENBERG,S.A.
96 NISHIMURA,M.
96 SODE,K.
96 REDDY,R.
96 SIMMONS,C.R.
96 QU,Z.
96 OZAKI,K.
96 HUISMAN,G.W.
96 LEE,T.
96 NISHIMURA,T.
96 LEE,S.K.
95 YASUEDA,H.
95 GOTO,M.
95 TAKAHASHI,N.
95 ICHIKAWA,Y.
95 SHIN,H.
95 COLLINS,M.
95 VAN THIELEN,N.
95 ZENG,Q.
95 SHIMIZU,H.
95 IDE,T.
95 TSUNODA,H.
95 CARDARELLI,J.M.
94 KOPETZKI,E.
94 BRENNER,S.
94 MORI,H.
94 LI,Q.
94 MIYAZAKI,T.
94 KAUFMANN,J.
94 ABE,T.
94 PADIGARU,M.
94 ISHII,S.
94 HEINDL,D.
94 GRIMALDI,C.J.
94 SHEN,W.
94 CHO,H.
94 WAGA,I.
94 CHOI,S.Y.
93 LAWLOR,E.J.
93 NISHI,T.
93 WILLIAMS,L.T.
93 MURPHY,B.R.
93 ZHANG,M.
93 CHO,Y.
93 GRAHAM,M.J.
93 HAMEL,J.
93 YASUKAWA,K.
93 KATO,A.
93 RASTELLI,L.
93 DUNN-COLEMAN,N.
93 THORNTON,M.
93 SHIMIZU,T.
93 GOETSCH,L.
93 GREGORY,P.D.
92 YU,X.
92 OKAMOTO,H.
92 WANG,P.
92 YADAV,N.S.
92 KIMURA,H.
92 IKEDA,M.
92 UEDA,Y.
92 GERBER,H.
92 FOX,B.A.
92 MCWHIRTER,J.
92 CLARK,H.
92 NARIMATSU,H.
91 OLSEN,H.S.
91 OLD,L.J.
91 YAMASAKI,M.
91 MASUDA,K.
91 INOUE,K.
91 YANG,X.
91 LI,M.
91 YAMAGUCHI,T.
91 LEGER,O.
91 ANDERSEN,K.V.
91 WEIMER,T.
91 DOBIE,K.W.
91 SHIMIZU,K.
91 SCHAFFER,S.
91 MORISHITA,R.
91 CHO,J.
91 KURODA,S.
91 KING,C.T.
90 MURAMATSU,M.
90 BOUGUELERET,L.
90 YANG,M.
90 JANSEN,K.U.
90 NAGARAJAN,V.
90 BECKER,M.M.
90 HAYASHI,Y.
90 TABATA,K.
90 YAO,J.
90 FRASER,C.
90 SHIN,Y.
90 FIGGE,R.
89 IMAI,T.
89 KIKUCHI,Y.
89 EVANS,R.M.
89 BOTT,R.R.
89 ADAMS,M.D.
89 ZHAO,Y.
89 OCHIAI,M.
89 RABBANI,E.
89 YAO,Y.
